Site,Dist,Site name,Start,End,Lat,Lon,Source,STA,Height (m),Bar_ht,WMO
068159,68,WEDDERBURN (BOOALBYN),1964,..,-34.1656,150.8077,GPS,NS,250,..,..
068160,68,CAMPBELLTOWN (KENTLYN (GEORGES RI,1966,..,-34.0542,150.8772,.....,NS,115,..,..
068161,68,WATTAMOLLA,1966,1975,-34.7333,150.6167,.....,NS,130,..,..
068162,68,TALLONG,1895,1936,-34.75,150.1667,.....,NS,..,..,..
068163,68,LEICESTER PARK,1957,1970,-34.4167,150.4,.....,NS,658.4,..,..
068164,68,OAKDALE (SILVER HILL),1956,1967,-34.1,150.5167,.....,NS,442,..,..
068165,68,OAKDALE (NATTAI RIVER),1958,1967,-34.0667,150.4333,.....,NS,..,..,..
068166,68,BUXTON (AMAROO),1967,2022,-34.2424,150.522,GPS,NS,420,..,..
068167,68,KANGAROO VALLEY (GLENGARRY),2000,2004,-34.7281,150.4517,GPS,NS,100,..,..
068168,68,KNIGHTS HILL (CHANNEL 5A),1964,1990,-34.6244,150.6939,.....,NS,765,..,..
068169,68,MOUNT KEIRA (YATES AVE),1966,2007,-34.4138,150.8572,GPS,NS,90,..,..
068170,68,MOUNT NEBO COLLIERY,1966,1979,-34.4333,150.8,.....,NS,207,..,..
068171,68,WOLLONGONG OBRIENS ROAD,1966,1971,-34.4333,150.85,.....,NS,48.8,..,..
068172,68,MOUNT KEMBLA 2,1966,1967,-34.4333,150.8167,.....,NS,137.2,..,..
068173,68,KEMBLA HEIGHTS CORDEAUX ROAD,1967,1968,-34.4333,150.8,.....,NS,300,..,..
068174,68,WOODHILL BROGERS CREEK ROAD,1967,1994,-34.7183,150.685,.....,NS,310,..,..
068175,68,TOOLIJOOA (NYORA),1967,2015,-34.7617,150.7911,GPS,NS,3,..,..
068176,68,TAHMOOR (RANFURLY),1968,1972,-34.25,150.6333,.....,NS,198.1,..,..
068177,68,MADDENS PLAINS (BOOMERANG GOLF LI,1907,1990,-34.2517,150.9444,.....,NS,390,..,..
068178,68,BARREN GROUNDS NATURE RES.,1973,1976,-34.6833,150.7167,.....,NS,625,..,..
068179,68,KANGALOON POST OFFICE,1968,1976,-34.55,150.5333,.....,NS,816.9,..,..
068180,68,PORT KEMBLA ABSLMA COMPARISION,2007,2014,-34.4734,150.9118,.....,SA,0,1.3,..
068181,68,HAMPDEN BRIDGE (KANGAROO RIVER),1966,..,-34.7275,150.5208,.....,NS,80,..,..
068182,68,NERRIGA (GLENGARRY),1969,1973,-35.1333,150.1333,.....,NS,564,..,..
068183,68,NERRIGA (TOUGA),1961,1977,-34.95,150.0833,.....,NS,579,..,..
068184,68,BOWRAL CENTENNIAL ROAD,1967,1977,-34.4667,150.3833,.....,NS,701,..,..
068185,68,WILDES MEADOW (LONGVIEW),1953,1988,-34.6167,150.5333,.....,NS,710,..,..
068186,68,BERRIMA WEST (MEDWAY (WOMBAT CREE,1970,..,-34.4839,150.2867,GPS,NS,655,..,..
068187,68,ORANGE GVE (CATARACT C),1964,1998,-34.2833,150.85,.....,NS,476,..,..
068188,68,WOLLONGONG UNIVERSITY,1970,2008,-34.403,150.8795,GPS,NS,25,..,..
